    X           Y            F606W      F814W
   5855.1900   4074.4500     25.9946     23.3303
   7217.0000   4074.9000     25.2414     22.2056
   7285.9400   4075.0900     25.1595     22.2701
   6940.2000   4075.4700     26.6611     23.5631
   4573.0400   4076.8600     25.9413     22.9254
   5902.4800   4077.0900     26.1921     23.3860
   6392.3500   4077.0500     21.5735     18.3449
   6439.4900   4076.9500     26.2952     23.6470
   3229.1900   4077.9800     25.3825     22.3613
   4870.6500   4077.6900     25.1802     22.1532
   4978.5900   4078.3300     21.5924     18.4387
   5321.6200   4077.9500     25.1689     22.2737
   6341.0800   4077.5900     26.2715     23.4019
   6842.2600   4077.5800     25.0065     22.0542
   2650.3100   4079.4400     27.0182     23.7190
   3137.5300   4078.5800     23.7162     20.9408
   3796.0500   4078.6600     27.1809     23.3018
   4169.9300   4079.2600     27.0046     23.3559
   5694.1500   4079.3400     21.0546     17.9824
   3966.0400   4079.8300     25.8088     22.6293
   5269.1200   4079.6200     25.8742     22.8813
   5363.9200   4080.0500     26.7245     23.4995
   5376.8600   4080.3100     24.6921     21.6566
   6475.0800   4079.5000     24.7945     21.9307
   6920.5900   4080.1800     25.9164     22.9114
   7338.2700   4079.9900     26.7948     23.0309
   5532.6000   4081.1400     25.3151     22.2426
   5638.8500   4080.5000     25.1877     22.4260
   6757.7900   4081.3600     26.6691     23.8120
   7195.1000   4080.8600     25.3836     22.5200
   6243.4100   4081.5500     26.7182     23.4980
   6374.5200   4082.4800     24.6213     21.4321
   6554.7900   4081.8900     26.2663     23.4529
   3148.1000   4082.8900     25.9696     23.1992
   3488.3800   4082.9400     24.7275     21.7844
   4720.7200   4084.4700     25.9456     22.8350
   5393.5700   4084.8100     27.4757     21.8349
   6021.8100   4084.5700     24.1161     21.2404
   6693.5100   4084.4300     25.7031     22.7784
   3602.1300   4085.5900     20.0179     16.7998
   5824.3100   4085.8100     24.3042     21.3989
   6098.1300   4086.6100     25.7987     22.7937
   6610.3600   4087.1100     24.2087     21.4087
   7225.4200   4086.4800     25.3478     22.3607
   3585.5400   4088.3700     25.9785     22.8107
   4782.5500   4087.7900     25.4506     22.2353
   4822.9500   4087.5500     23.6582     20.4868
   5576.0900   4087.5200     25.7716     22.8701
   4684.2100   4088.4600     26.0080     22.9793
   5624.0500   4088.6000     25.2742     22.3195
   6631.2500   4090.3200     24.4467     21.6266
   6922.9600   4090.3300     26.9130     22.0707
   5585.8600   4091.0800     27.5746     23.7731
   6332.2800   4091.0100     25.1599     22.1366
   7145.7700   4090.9900     26.8411     23.7853
   7395.3300   4090.4900     27.4870     22.9928
   3641.1400   4091.5000     23.3853     19.9788
   3732.4800   4092.0200     20.9697     17.7043
   4257.1000   4092.2300     27.1021     23.8336
   6144.1100   4091.5600     26.6012     23.6152
   7018.1100   4092.2400     25.1119     22.2498
   3779.4400   4093.2100     24.9902     21.9421
   5652.1300   4092.5000     25.8818     22.9057
   5712.6900   4092.9300     24.8595     22.0787
   6729.7900   4093.4000     26.2339     23.3843
   7202.9500   4092.8500     25.9880     23.1833
   7445.9200   4092.5100     27.1562     23.9362
