   X             Y          F275W        F336W      F438W       F814W
   4755.2605   2847.4791     99.9999     99.9999     22.5173     19.6150
   5685.0811   2846.8834     99.9999     22.2506     99.9999     19.2243
   4049.3102   2848.2054     99.9999     99.9999     99.9999     18.3109
   4563.6058   2848.2160     99.9999     99.9999     99.9999     16.7008
   5553.7729   2847.9820     99.9999     19.0961     19.2468     17.2715
   4324.3017   2849.4182     99.9999     99.9999     99.9999     18.3463
   5937.8512   2848.6768     99.9999     99.9999     99.9999     18.5309
   4105.7784   2849.6234     99.9999     99.9999     99.9999     16.7868
   4244.5830   2850.9395     99.9999     99.9999     99.9999     18.2522
   4854.2243   2852.1681     99.9999     19.2109     19.3325     17.4281
   5967.9044   2852.0195     99.9999     99.9999     99.9999     19.6474
   4612.0757   2852.6089     99.9999     99.9999     99.9999     16.9952
   4669.2881   2852.7907     99.9999     99.9999     99.9999     18.9469
   4976.2172   2853.4857     99.9999     18.6404     18.7283     16.8865
   5370.2967   2852.8725     23.2638     21.6246     21.4091     18.8587
   4464.4823   2854.1154     99.9999     99.9999     99.9999     17.8924
   5933.5217   2853.9588     99.9999     99.9999     99.9999     18.5203
   3907.9326   2855.4433     99.9999     99.9999     99.9999     18.2748
   5290.5112   2855.3751     21.9686     20.7452     20.6812     18.3539
   6224.8542   2854.6488     99.9999     99.9999     99.9999     19.1425
   3728.2283   2855.5595     99.9999     99.9999     99.9999     19.9620
   4554.6432   2855.9575     99.9999     99.9999     99.9999     19.6778
   5588.3067   2857.9840     99.9999     23.4344     22.5468     19.6247
   6263.7405   2858.1709     99.9999     99.9999     99.9999     19.2430
   4115.0871   2859.0416     99.9999     99.9999     99.9999     18.9142
   4690.3230   2858.7281     99.9999     99.9999     20.6194     18.3957
   5726.9960   2858.5731     99.9999     22.2938     21.9009     19.1615
   4071.5823   2860.0466     99.9999     99.9999     99.9999     18.1165
   4433.7215   2859.7091     99.9999     99.9999     99.9999     18.2967
   3831.1106   2861.4281     99.9999     99.9999     99.9999     19.0012
   3949.9695   2861.3691     99.9999     99.9999     99.9999     17.9234
   4199.3603   2861.0055     99.9999     99.9999     99.9999     17.0901
   5004.7406   2860.9987     99.9999     21.3820     21.2085     18.7575
   6284.4653   2860.9560     99.9999     99.9999     99.9999     18.2620
   3964.3835   2862.2205     99.9999     99.9999     99.9999     17.6087
   5249.8411   2862.1551     99.9999     23.5347     22.8325     19.8061
   6361.0253   2861.9717     99.9999     99.9999     99.9999     19.9988
   4474.4226   2863.3210     99.9999     99.9999     99.9999     14.2426
   4815.3341   2863.1615     99.9999     18.8208     18.8850     16.9354
   4944.2638   2863.4150     99.9999     18.6409     18.7111     16.8411
   5092.3971   2863.2951     99.9999     23.3268     22.4451     19.6125
   5989.8085   2863.3210     99.9999     99.9999     99.9999     17.0509
   3515.6059   2864.0651     99.9999     99.9999     99.9999     19.2103
   3676.7545   2864.3653     99.9999     99.9999     99.9999     19.3816
   4888.3019   2864.0200     99.9999     23.1143     22.4091     19.5849
   4171.4520   2865.1784     99.9999     99.9999     99.9999     15.9166
   4286.0824   2864.8069     99.9999     99.9999     99.9999     19.6940
   5041.9624   2865.8713     99.9999     18.6189     18.7031     16.8472
   5397.2921   2865.9825     20.2841     19.2728     19.4142     17.4485
   5433.2774   2865.9640     22.4953     21.0311     20.9747     18.6375
   6472.2229   2865.5606     99.9999     99.9999     99.9999     17.4307
   5520.1350   2867.0386     99.9999     24.1306     23.2183     19.9354
   5727.8706   2866.9790     99.9999     99.9999     20.2417     18.0804
   6017.7753   2866.7496     99.9999     99.9999     99.9999     17.2003
   4731.5887   2868.3347     99.9999     99.9999     22.2236     19.4039
   5219.1489   2867.8815     20.4579     19.4610     19.5388     17.5662
   5509.3478   2868.3880     99.9999     22.9135     22.2765     19.4924
   6451.0690   2868.0789     99.9999     99.9999     99.9999     16.1387
   6255.9712   2868.7067     99.9999     99.9999     99.9999     18.2446
   3941.4853   2869.6626     99.9999     99.9999     99.9999     17.9396
   4896.7324   2870.4626     99.9999     22.2418     21.9474     19.2567
   5330.1307   2870.3555     23.5855     21.8371     21.5625     19.0082
   3968.0786   2871.4763     99.9999     99.9999     99.9999     15.0462
   6360.3385   2870.7632     99.9999     99.9999     99.9999     18.4056
   4004.2790   2871.7018     99.9999     99.9999     99.9999     18.3522
   4233.6364   2872.3103     99.9999     99.9999     99.9999     18.2636
   5300.5629   2871.9409     99.9999     22.7202     22.1408     19.3899
   5527.8975   2871.7080     20.5944     19.5135     19.6348     17.5999
   5550.7922   2872.3881     23.2200     21.6178     21.3490     18.9160
   5605.4616   2872.8988     99.9999     18.8174     18.9446     17.0592
   4018.4105   2874.0829     99.9999     99.9999     99.9999     19.0033
   4589.9792   2873.6578     99.9999     99.9999     99.9999     17.6224
   5204.4618   2873.7637     99.9999     23.3244     22.6195     19.6321
   6506.6954   2873.8713     99.9999     99.9999     99.9999     17.5590
   4500.7953   2875.1124     99.9999     99.9999     99.9999     17.0112
   5445.4883   2874.5852     19.3751     18.4643     18.5757     16.7418
   5563.7047   2875.6197     99.9999     19.3094     19.4586     17.4650
   6296.1783   2876.0819     99.9999     99.9999     99.9999     19.5504
   6566.1912   2876.4558     99.9999     99.9999     99.9999     18.1325
   4313.1129   2876.7163     99.9999     99.9999     99.9999     19.0566
